Date,Open,High,Low,Close,Volume,Adj Close
2012-12-03,11.39,14.21,10.59,11.87,47763800,11.87
2012-11-01,8.06,12.30,8.01,11.60,42169900,11.60
2012-10-01,7.62,8.45,7.27,7.93,19338300,7.93
2012-09-04,6.66,8.20,6.22,7.50,38635400,7.50
2012-08-01,7.21,8.49,6.61,6.69,17491800,6.69
2012-07-02,7.53,8.32,6.56,7.15,22413700,7.15
2012-06-01,10.17,11.09,7.34,7.39,24559300,7.39
2012-05-01,14.38,14.42,10.01,10.33,18895200,10.33
2012-04-02,14.67,14.99,12.55,14.30,21437700,14.30
2012-03-01,13.78,14.92,12.83,14.70,25325900,14.70
2012-02-01,16.91,17.34,14.16,14.17,16098800,14.17
2012-01-03,14.84,17.96,14.57,16.63,27465900,16.63
